table,row,Platform,Annual fee,Fee notes,Trading: Funds,"Trading: ETFs, ITs, bonds, shares",Regular investing,FX fee,Entry/exit fee,Good for
flat-fee,1,InvestEngine,£0 (DIY service),ETFs only,No funds,£0 daily fixed times,£0,£0,£0,Zero fees
flat-fee,2,Flexible shares ISA,£0,-,n/a,£0 daily fixed times,£0,£0,£0,ETF portfolios
flat-fee,3,Trading,£0,-,n/a,£0 daily fixed times,£0,£0,£0,ETF portfolios
flat-fee,4,SIPP,£0,-,n/a,£0 daily fixed times,£0,£0,£0,ETF portfolios
flat-fee,5,Prosper,£0,"Restricted funds list, 0% OCFs on some",£0,£0,£0,£0,£0,Zero fees
flat-fee,6,Flexible Shares ISA,£0,-,£0,£0,£0,£0,£0,Fund and ETF portfolios
flat-fee,7,Trading,£0,-,£0,£0,£0,£0,£0,Fund and ETF portfolios
flat-fee,8,SIPP,£0,No drawdown,£0,£0,£0,£0,£0,Fund and ETF portfolios
flat-fee,9,Lightyear,£0,-,No funds,£0,£0,0.1%,£0,Zero fees
flat-fee,10,Flexible Shares ISA,£0,-,n/a,£0,£0,0.1%,£0,ETF portfolios
flat-fee,11,Trading,£0,-,n/a,£0,£0,0.1%,£0,ETF portfolios
flat-fee,12,SIPP,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-
flat-fee,13,Freetrade,£0 Basic plan,Standard and Plus plans include lower FX fees and higher cash interest,£0,£0,£0,0.99% Basic. 0.59% Standard. 0.39% Plus,£0,Zero fees
flat-fee,14,Flexible Shares ISA/JISA,£0 Basic plan,-,£0,£0,£0,0.99%,£0,ETF and fund portfolios
flat-fee,15,Trading,£0 Basic plan,-,£0,£0,£0,0.99%,£0,ETF and fund portfolios
flat-fee,16,SIPP,£0 Basic plan,"No drawdown, £240 per UFPLS",£0,£0,£0,0.99%,£0,ETF and fund portfolios
flat-fee,17,Barclays Direct Investing,£0,-,£0,£6,£0,1% up to £5k trade. Cheaper tiers above,£0,Zero fees on funds
flat-fee,18,Flexible Shares ISA,£0,-,£0,£6,£0,As above,£0,Fund portfolios
flat-fee,19,Trading,£0,-,£0,£6,£0,As above,£0,Fund portfolios
flat-fee,20,SIPP,n/a,Currently closed to new customers,n/a,n/a,n/a,n/a,n/a,-
flat-fee,21,Interactive Investor,"£71.88 Core plan. Includes ISA, GIA & SIPP. Portfolios under £100k only","£179.88 Plus plan. Includes ISA, GIA & SIPP. 1 free trade a month. Free JISAs. 5 free family accounts",£3.99 Core. £1.49 Plus. £0 Premium,"£3.99 Core, Plus. £2.99 Premium",£0,0.75% Core. 0.75% Plus up to £50k & 0.25% above. 0.25% Premium,£0,-
flat-fee,22,Shares ISA/JISA,£71.88 Core plan. No JISA on Core plan.,£179.88 Plus plan,£3.99 Core. £1.49 Plus. £0 Premium,"£3.99 Core, Plus. £2.99 Premium",£0,As above,£0,-
flat-fee,23,Trading,£71.88 Core plan,£179.88 Plus plan,£3.99 Core. £1.49 Plus. £0 Premium,"£3.99 Core, Plus. £2.99 Premium",£0,As above,£0,-
